Candy ,Pos,Neg,Neu
100 Grand Bar,873,85,755
Mary Janes,176,1089,461
Full-sized candy bar,1559,17,212
Black Jacks,92,793,617
Bonkers ,116,495,857
Bottle Caps,465,560,670
Box'o'Raisins,117,1179,476
Butterfinger,1177,141,460
Cadbury Creme Eggs,820,395,562
Candy Corn,478,743,561
Caramellos,953,163,592
Chardonnay,1040,317,360
Chick-o-Sticks,299,644,571
Chiclets,244,761,744
Coffee Crisp,474,541,592
Dots,410,664,657
Dove Bars,1176,108,474
Fuzzy Peaches,402,559,676
Goo Goo Clusters,409,464,708
Good N' Plenty,408,742,576
Gum from baseball cards,44,1452,238
Gummy Bears,748,431,584
Hard Candy,272,586,907
Heath Bar,1069,213,466
Hershey's Dark Chocolate,1105,175,507
Hersheys Milk Chocolate,896,225,667
Hershey's Kisses,834,222,726
Jolly Ranchers,747,380,638
JoyJoy,76,956,402
Junior Mints,1020,496,246
Senior Mints,151,895,472
Kit Kat,1447,52,287
LaffyTaffy,450,545,729
LemonHeads,670,370,690
Licorice,557,510,707
Lindt Truffle,1277,98,367
Lollipops,364,474,931
Mars,1026,122,587
Maynards,148,579,709
Mike and Ike,534,550,647
Milk Duds,878,250,639
Milky Way,1185,102,485
Regular M&Ms,1122,75,588
Peanut M&Ms,1291,377,121
Blue M&M's,1018,120,595
Red M&M's,1001,124,606
Green Party M&M's,972,137,587
Mint Kisses,619,421,644
Mint Juleps,904,413,332
Mr. Goodbar,857,220,643
Necco Wafers,353,805,558
Nerds,769,359,609
Crunch,1188,102,472
Now'n'Laters,361,557,725
Peeps,239,1085,426
Pixy Stix,543,546,649
Reeses Peanut Butter Cups,1498,95,188
Reese's Pieces,1136,168,465
Reggie Jackson Bar,254,486,706
Rolos,1151,140,455
Skittles,829,321,604
Smarties,729,425,581
Snickers,1399,79,292
Sourpatch Kids ,770,511,441
Starburst,853,299,615
Sweet Tarts,783,359,610
Swedish Fish,754,449,542
Sweetums ,151,763,544
Take 5,577,353,613
Tic Tacs,264,754,728
Circus Peanuts,189,1252,283
Three Musketeers,1058,176,518
Toblerone,1320,84,350
Trail Mix,228,836,688
Twix,1413,71,286
Whatchamacallit Bars,840,288,509
York Peppermint Patties,1105,232,418
